Artista,Título,Año,URL
Sonia y Selena,Yo quiero bailar,2001,https://open.spotify.com/intl-es/track/4rFCPjKfgbEeNvs1Ku4nbd
La oreja de Van Gogh,Pop,2000,https://open.spotify.com/intl-es/track/4FXSEdmbbeGmPIQltH27C8
La Prohibida,Baloncesto,2017,https://open.spotify.com/intl-es/track/3kKZjk2p2j3O7iARjoxeam
Las supremas de Móstoles,Eres un enfermo,2005,https://open.spotify.com/intl-es/track/4djZPmkSgKugFofkBVrAia
Fangoria,No sé qué me das,2001,https://open.spotify.com/intl-es/track/4gP89Uk2gEVcmygi6ddRjf
Alaska y Los Pegamoides,Bailando,1982,https://open.spotify.com/intl-es/track/0OteyYh6inrfcil1XGwC3r
Ojete Calor,Viejoven,2014,https://open.spotify.com/intl-es/track/01km0N5v4vhwqFyW4H1X0n
Las bistecs,HDA (Historia del arte),2016,https://open.spotify.com/intl-es/track/1ViUKZsdEDsRKIdOic4DyQ
Las Ketchup,Aserejé,2002,https://open.spotify.com/intl-es/track/6NG2IIXZfC5Notpz0GIODU
Wendy Sulca · La tigresa del oriente · Delfín hasta el fin,En tus tierras bailaré,2011,https://open.spotify.com/intl-es/track/3MzUbe7HlO407gPtDAzSfd
Concha Velasco,Chica Ye Yé,1965,https://open.spotify.com/intl-es/track/5hv3nMY3NKyDL7cSsrSYog
JEDET,Pégate,2025,https://open.spotify.com/intl-es/track/3y1vPgwHA2R20efomVmD9F
Samantha Hudson y Papá Topo,Por España,2021,https://open.spotify.com/intl-es/track/2MNeQJXD86Ymigan1DdUa9
Putilatex,Mira una moderna,2008,https://open.spotify.com/intl-es/track/3ahmTHLm4msj0nujbrJgEg
Alberto Gambino,Purpurina,2019,https://open.spotify.com/intl-es/track/4FrThBco0jLqXEMULUhSM9
Chambao,Y ahí estás tú,2002,https://open.spotify.com/intl-es/track/1dgFSrqG37FpmlZCmlKmP7
Lorna,Papi chulo... te traigo el mmmm,2003,https://open.spotify.com/intl-es/track/6PRv5QDR843SgVpk4IqEit
Nena Daconte,En qué estrella estará,2006,https://open.spotify.com/intl-es/track/1msphInQ8bBBQGFZkll7FX
Joseíto Fernández,Guantanamera,1929,https://open.spotify.com/intl-es/track/6ek8f65UGCZaiIBcXkexlE
Ms Nina,Tu Sicaria,2017,https://open.spotify.com/intl-es/track/5cyKYhm8vo5edvuT5tIuQ6
